Image Name,PSNR,SSIM
PCSlice5401.dat,21.836564832818055,0.9387285904519759
PCSlice5402.dat,19.582814868152514,0.8797884329826847
PCSlice5403.dat,20.103539619810704,0.9042650991667145
PCSlice5404.dat,17.647353966554927,0.8472237960439302
PCSlice5405.dat,19.19927040932449,0.8667701008228156
PCSlice5406.dat,18.880032637101593,0.8480718508143998
PCSlice5407.dat,21.602243414995588,0.9344632677513586
PCSlice5408.dat,20.66010527873056,0.9370994656994581
PCSlice5409.dat,18.212915751199635,0.8450805259782226
PCSlice5410.dat,19.0775833004116,0.8651283015086446
PCSlice5411.dat,20.77327221287845,0.9232527090657142
PCSlice5412.dat,20.72684076662435,0.9197291293636741
PCSlice5413.dat,21.639462468802893,0.9356518603269722
PCSlice5414.dat,20.65310125985919,0.921589081537832
PCSlice5415.dat,22.823773900648995,0.9474184919244204
PCSlice5416.dat,19.49502531238231,0.8792151551733735
PCSlice5417.dat,19.47280323921876,0.8814712188835968
PCSlice5418.dat,19.38030656347299,0.864967359781783
PCSlice5419.dat,20.52490092234494,0.9307914302350816
PCSlice5420.dat,19.53938487908849,0.882751179448151
PCSlice5421.dat,19.50902407078432,0.8809106210932272
PCSlice5422.dat,20.46857720316715,0.9327160173107317
PCSlice5423.dat,18.46264407386503,0.8565621441986637
PCSlice5424.dat,17.409190697451816,0.8349088566422438
PCSlice5425.dat,19.575853501711475,0.8780940609759935
PCSlice5426.dat,19.108560751259162,0.8636499161635601
PCSlice5427.dat,20.58970896675739,0.9233315222612386
PCSlice5428.dat,20.322876235792254,0.9157884015209473
PCSlice5429.dat,19.995582167451037,0.8999358134336517
PCSlice5430.dat,19.480582550867048,0.8729010563876828
PCSlice5431.dat,19.49750044728258,0.8761947692727025
PCSlice5432.dat,18.364381979427595,0.8679469339540298
PCSlice5433.dat,19.72062663086518,0.9096621088628142
PCSlice5434.dat,20.513459581203843,0.9255213889050721
PCSlice5435.dat,20.363127941199632,0.913507280043327
PCSlice5436.dat,19.80039437013548,0.8961195852006635
PCSlice5437.dat,21.162638279806607,0.9307216768777745
PCSlice5438.dat,19.397992837319556,0.8691600389864891
PCSlice5439.dat,22.52424855196072,0.9386637172966
PCSlice5440.dat,23.409810497704772,0.9551607168320415
PCSlice5441.dat,19.921208776177767,0.8963253723579166
PCSlice5442.dat,20.08083636274957,0.9020413885612543
PCSlice5443.dat,19.75453645679281,0.9003227907273768
PCSlice5444.dat,22.10965443708431,0.9508293462770847
PCSlice5445.dat,20.721462190266458,0.9337061226737706
PCSlice5446.dat,21.255838728944592,0.9288352214388481
PCSlice5447.dat,19.07277684575057,0.8592672824708636
PCSlice5448.dat,20.636180201912772,0.9277903014844834
PCSlice5449.dat,18.666499214939673,0.873846941779162
PCSlice5450.dat,18.89594311251898,0.8824597495523296
PCSlice5451.dat,20.596715054473094,0.9250704221889635
PCSlice5452.dat,20.173262703959875,0.9134425397275202
PCSlice5453.dat,19.52609192765665,0.89363654248287
PCSlice5454.dat,23.555036271524628,0.9568243495805684
PCSlice5455.dat,20.381847523614244,0.9240736955673587
PCSlice5456.dat,20.269511372505523,0.9089243298983456
PCSlice5457.dat,21.680111917856628,0.9363304501653605
PCSlice5458.dat,19.681680917089242,0.8974184164979223
PCSlice5459.dat,20.6347562650747,0.9250849876158413
PCSlice5460.dat,20.964980244558234,0.9263520294527706
PCSlice5461.dat,20.405814738094463,0.923944595116102
PCSlice5462.dat,21.560417295454016,0.9352099544307829
PCSlice5463.dat,21.09693563615984,0.9527586216730974
PCSlice5464.dat,24.212785467684668,0.9635827185658505
PCSlice5465.dat,18.913617890123934,0.8637712286015691
PCSlice5466.dat,20.254877701355916,0.9142709890594652
PCSlice5467.dat,20.471289632115575,0.9176905227105562
PCSlice5468.dat,19.70229546935538,0.8981743418801856
PCSlice5469.dat,21.02097811549942,0.9509354019160109
PCSlice5470.dat,20.049154521113266,0.9088567199818698
PCSlice5471.dat,18.612074476520267,0.8549019337406827
PCSlice5472.dat,20.42472012944181,0.9098278757969704
PCSlice5473.dat,20.74770746827161,0.9383213993078722
PCSlice5474.dat,20.7472245327104,0.918424226783179
PCSlice5475.dat,20.760778529666297,0.9245803262443706
PCSlice5476.dat,20.202712856220515,0.9160019052161769
PCSlice5477.dat,20.705241605986195,0.9380300191744878
PCSlice5478.dat,20.529843247956116,0.9184678685348373
PCSlice5479.dat,20.108377647031386,0.9100687167091901
PCSlice5480.dat,22.116927099621513,0.9332753122713328
PCSlice5481.dat,20.817627667360345,0.9241318196335591
PCSlice5482.dat,19.56371015680951,0.8884249310185586
PCSlice5483.dat,20.454327195688094,0.9245903626504925
PCSlice5484.dat,20.944435763210695,0.9480234173640325
PCSlice5485.dat,23.085860055467855,0.9474518283922765
PCSlice5486.dat,19.422945875964533,0.869889093426459
PCSlice5487.dat,20.070110822389108,0.9089368308466806
PCSlice5488.dat,18.934860597512067,0.851450944567412
PCSlice5489.dat,20.070813846250644,0.901150997449868
PCSlice5490.dat,20.20273798884686,0.9187956801369922
PCSlice5491.dat,20.991725110938035,0.9291794928035724
PCSlice5492.dat,23.798158613122897,0.9600996235852354
PCSlice5493.dat,19.728707811989025,0.884426814789142
PCSlice5494.dat,20.26903053517293,0.9125095570891344
PCSlice5495.dat,20.688038350821316,0.9392311207586522
PCSlice5496.dat,20.547701848484813,0.9272116069742798
PCSlice5497.dat,20.753380488858593,0.9384327909170448
PCSlice5498.dat,21.105559352888484,0.9486026695455718
PCSlice5499.dat,20.80202743071078,0.9507623811920287
PCSlice5500.dat,19.425884997396242,0.8924390599496718
PCSlice5501.dat,19.192745276116735,0.8590153757455036
PCSlice5502.dat,19.39432979521483,0.872576842074975
PCSlice5503.dat,19.553546982475414,0.907504327021188
PCSlice5504.dat,22.58824572241135,0.9434169378678559
PCSlice5505.dat,21.392034636046734,0.9326665749275753
PCSlice5506.dat,19.025121554678922,0.8852120327067656
PCSlice5507.dat,19.90037879546289,0.9064123503204413
PCSlice5508.dat,18.1108341772751,0.8498169284526527
PCSlice5509.dat,22.07987845674806,0.9378774021723677
PCSlice5510.dat,20.754654957771915,0.9477788813972986
PCSlice5511.dat,20.779981425413624,0.92283328618389
PCSlice5512.dat,20.34866778150105,0.9273607596656426
PCSlice5513.dat,19.80860092257972,0.8941928032069252
PCSlice5514.dat,20.85794988723846,0.9386722669892809
PCSlice5515.dat,20.499285282079963,0.9136697191868295
PCSlice5516.dat,20.513559177518047,0.9241901252409512
PCSlice5517.dat,19.673642672108713,0.8905475427358079
PCSlice5518.dat,20.03761129776214,0.9040950929347004
PCSlice5519.dat,19.536047482561433,0.8766961031765165
PCSlice5520.dat,22.041986233846956,0.9408698199509441
PCSlice5521.dat,22.739093575848862,0.9451288063445793
PCSlice5522.dat,19.803302559071117,0.8908561229792087
PCSlice5523.dat,19.646744088043107,0.8871480581661065
PCSlice5524.dat,19.789652279922095,0.9084495144065029
PCSlice5525.dat,23.151566516068137,0.9490743145511491
PCSlice5526.dat,20.45421524581583,0.9298749883587544
PCSlice5527.dat,19.79776538046765,0.9059306127197172
PCSlice5528.dat,19.943132557178092,0.9048022961658422
PCSlice5529.dat,22.551200184782655,0.9453642870905764
PCSlice5530.dat,20.60666591067172,0.9315003488520954
PCSlice5531.dat,20.86842138575267,0.9465776904456077
PCSlice5532.dat,23.486955253571224,0.9544703907016711
PCSlice5533.dat,19.88640312625374,0.9094372665455659
PCSlice5534.dat,19.72533622476952,0.8941303585723005
PCSlice5535.dat,17.974682789579163,0.844057727117566
PCSlice5536.dat,19.835970759529246,0.8956678542108996
PCSlice5537.dat,20.797082216293724,0.936170502757612
PCSlice5538.dat,19.435267978986378,0.8999313697745797
PCSlice5539.dat,19.908991001242356,0.9117381847408855
PCSlice5540.dat,18.933433645075816,0.8514873909314893
PCSlice5541.dat,20.664558022122435,0.9192559051251146
PCSlice5542.dat,19.370414628567683,0.8991951934084284
PCSlice5543.dat,19.955414515652812,0.8929790308004179
PCSlice5544.dat,20.517791709241887,0.9190525945969314
PCSlice5545.dat,18.416324584597888,0.8538334640416234
PCSlice5546.dat,19.984725210786657,0.9014947317281816
PCSlice5547.dat,21.706874394591917,0.9296442149245512
PCSlice5548.dat,19.46138274677522,0.865600645250962
PCSlice5549.dat,19.17217966031137,0.8482127044713502
PCSlice5550.dat,23.301912744847613,0.9497633717770821
PCSlice5551.dat,21.020632219463366,0.9481701417340042
